ID;Naziv;Adresa ;BrojOcjena;ProsjecnaGuzva;Osvjetljenje;RazinaBuke;LjubaznostOsoblja;Cijene;KvalitetaKave;UrednostWC;UdobnostStolica;UkupnaAtmosfera;ProstorZaNepusace;DozvoljenoPusenje;Wifi;DozvoljeniPsi;Uticnice
0;Albatros;Ljubljanica;1;4;5;4;5;4;5;5;5;5;0;1;1;1;1
1;Alfresco;Draskoviceva;1;4;3;3;5;3;5;5;5;5;1;1;1;1;1
2;Alfresco;Marticeva;1;4;4;3;5;3;5;5;5;4;1;1;-1;1;1
3;ALL IN CAFFE BAR;Draškovićeva 31;1;3;3;4;4;2;4;4;3;3;0;1;1;1;0
4;Anchi;Trešnjevka;1;3;3;2;3;2;2;4;3;3;0;1;0;1;0
5;Argentina;Ivana Tkalčića 9;2;2.5;4.5;2;3.5;4.5;3.5;4.5;4;3.5;1;1;1;1;1
6;Bamboo ;Vjenceslava Richtera;2;2;2;1.5;3.5;4;3.5;5;4;4;1;1;1;1;1
7;Belgravia;Harambašićeva ul. 31;1;5;5;3;4;3;4;4;3;3;1;1;-1;1;-1
8;Bulldog;Bogovićeva ul. 6;1;1;4;3;5;5;4;4;5;5;-1;-1;-1;-1;0
9;Buzz;Preradovićeva ul. 30;1;3;2;4;5;4;5;4;4;5;0;1;1;-1;1
10;Caffè Ellis;Ilica 253;1;3;2;3;4;4;3;5;4;4;0;1;1;-1;-1
11;Carling Pub ;Trg Petra Preradovića 1 ;1;3;5;2;4;4;5;5;5;4;-1;1;1;1;-1
12;Cat Caffe;Kušlanova 6;1;1;5;3;5;4;5;3;3;5;1;0;1;0;0
13;Čeh pub;Preradovićeva ul. 28;1;1;2;1;3;1;3;4;3;4;0;1;1;-1;-1
14;Choco cafe;Ul. Zinke Kunc 3e;3;4;4.3333333333;3.6666666667;2;2.6666666667;3.3333333333;4.3333333333;3.3333333333;2.3333333333;1;1;1;1;1
15;Come in;Trnsko ul. 2;1;2;5;3;5;3;5;5;4;4;0;1;1;1;1
16;Corner bar;Ulica Augusta Cesarca 4;1;2;3;3;4;5;5;5;5;5;-1;1;1;-1;-1
17;Dobar zvuk;Gajeva ul. 18;2;3.5;2;2.5;4;1;2;2;3;3;0;1;1;1;1
18;DUGI;MARETIĆEVA 13, UTRINA;1;5;4;3;5;3;4;5;4;5;0;1;1;1;1
19;Finjak;Vlaska;1;4;4;4;4;2;4;5;3;5;1;1;1;1;-1
20;Good mood;Vrapče;1;3;4;4;5;1;5;3;4;5;0;1;1;1;1
21;History ;Ul. Ivana Tkalčića 68;1;2;3;2;1;4;3;4;5;4;1;1;1;0;0
